Cs,FA,MA,I,Br,structure,bandgap,glass,ETL,ETL-2,Ethickness,HTL,Hthickness,meta,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolution,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.2,0.75,0.05,2.49,0.51,1,1.544115,13.748588709770196,13.488257532983164,13.383332009508031,31.0,14.50981884057955,50.0314,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,20.4,1.054,0.74,15.9
0.0,0.95,0.05,2.85,0.15,1,1.687240000000001,15.131265603223945,15.569879212259472,14.720934210311336,28.0,14.50981884057955,172.0,14.127791666767372,15.043190661450348,13.612357075332145,14.596784135103238,14.00101851851855,120.0,30.0,22.0,1.02,0.744,16.7
0.05,0.7885,0.1615,2.49,0.51,1,1.685390000000001,15.131265603223945,15.569879212259472,14.720934210311336,52.0,14.50981884057955,104.0,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,110.0,50.0,22.25,1.116,0.768,19.07
0.0,0.4,0.6,3.0,0.0,0,1.55,15.131265603223945,14.580685119632928,14.734614611936987,24.2,15.02940413943355,61.2,15.271361592621036,15.043190661450348,14.540728643216081,11.813466461809325,14.00101851851855,100.0,10.0,21.98,1.0,0.72,15.83
0.05,0.7885,0.1615,2.49,0.51,1,1.541155000000001,13.748588709770196,13.488257532983164,13.383332009508031,24.2,14.50981884057955,55.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,22.4,1.1,0.78,19.2
0.0,0.85,0.15,2.7,0.3,1,1.57,13.748588709770196,15.569879212259472,13.905069668284664,40.6,14.50981884057955,74.0,15.271361592621036,12.718995012112048,14.540728643216081,14.99397098367796,14.00101851851855,100.0,60.0,1.06,21.9,0.72,16.6
0.0,0.3,0.7,0.3,2.7,0,1.63,15.131265603223945,14.580685119632928,14.734614611936987,23.2,15.02940413943355,104.2,15.271361592621036,15.043190661450348,14.540728643216081,11.813466461809325,14.00101851851855,100.0,10.0,20.21,1.1,0.78,17.34
0.0,0.83,0.17,1.8,1.2,1,1.74,13.748588709770196,15.569879212259472,14.734614611936987,52.0,14.50981884057955,104.0,15.271361592621036,13.387363546219715,14.540728643216081,14.99397098367796,14.198525610001713,185.0,90.0,19.4,1.2,0.751,17.1
0.0,0.0,1.0,3.0,0.0,0,1.58,13.748588709770196,11.770393394666886,14.641134841501426,40.6,13.462378402126571,74.0,15.271361592621036,12.718995012112048,12.719754513751047,14.99397098367796,14.00101851851855,100.0,60.0,0.81,13.5,0.6,6.6
0.05,0.79,0.15,2.45,0.55,1,1.6,15.131265603223945,15.569879212259472,14.720934210311336,20.0,14.50981884057955,200.0,14.127791666767372,16.59485963017334,16.35308226066059,14.99397098367796,16.067433477417786,102.0,52.0,22.297,1.0755,0.7475,17.92
