Cs,FA,MA,I,Br,structure,bandgap,glass,ETL,ETL-2,Ethickness,HTL,Hthickness,meta,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolution,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.0,0.3,0.7,3.0,0.0,0,1.57,ITO,C60,PCBM,24.2,NiOx,65.2,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,21.47,1.02,0.75,16.42
0.05,0.7885,0.1615,2.7,0.3,0,1.695760000000001,ITO,PCBM,ZnO,25.0,NiOx,10.0,Al,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.9,0.878,0.68,13
0.0,0.5,0.5,1.5,1.5,1,1.85,FTO,c-TiO2,mp-TiO2,21.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,15.5,1.09,0.7,11.9
0.0,0.85,0.15,2.4,0.6,1,1.62,ITO,TiO2,unknown,23.2,spiro,104.2,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.18,1.05,0.54,9.79
0.05,0.87,0.08,2.76,0.24,0,1.695760000000001,ITO,BCP,C60,24.2,PTAA,52.0034,Ag,one-step,spin,unknown,DMF/DMSO/Pb(SCN)2,100.0,30.0,21.93,1.02,0.802,18.2
0.0,0.17,0.83,3.0,0.0,1,1.59,FTO,c-TiO2,mp-TiO2,22.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,18.8,1.05,0.6,11.8
0.05,0.7885,0.1615,2.7,0.3,0,1.691170000000001,ITO,PCBM,ZnO,25.0,NiOx,25.0,Al,two-step,spin,CB,DMF/DMSO,100.0,10.0,22.2,1.023,0.82,17.7
0.07,0.9,0.03,2.76,0.24,1,1.695760000000001,FTO,c-TiO2,mp-TiO2,28.0,spiro/Gual,172.0,Au,two-step,spin,CB,DMF/DMSO/GuaI,150.0,30.0,24.5,1.12,0.75,21
0.05,0.7885,0.1615,2.49,0.51,1,1.844268968253968,ITO,SnO2,unknown,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,2.0,21.2,1.12,0.6478,15.37
0.0,0.33,0.67,0.0,3.0,1,2.29,FTO,c-TiO2,mp-TiO2,21.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,6.4,1.35,0.72,6.4
0.05,0.87,0.08,2.76,0.24,0,1.526975000000001,ITO,BCP,C60,24.2,PTAA,52.0034,Ag,one-step,spin,unknown,DMF/DMSO,100.0,30.0,21.86,1.0,0.77,16.9
0.05,0.7885,0.1615,2.7,0.3,1,1.58,FTO,SnO2,C,40.6,spiro,74.0,Ag,three-step,spin,unknown,DMF/DMSO,100.0,60.0,1.08,22.6,0.74,18
0.05,0.81,0.14,2.86,0.14,0,1.832045634920634,FTO,C60,BCP,28.0,NiOx,172.0,Ag,two-step,spin,toluene,DMF/DMSO,120.0,10.0,23.1,0.93,0.769,16.2
0.0,0.83,0.17,0.0,3.0,1,2.28,FTO,c-TiO2,mp-TiO2,21.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.0,1.42,0.65,6.5
0.0,1.0,0.0,3.0,0.0,1,1.685676666666667,ITO,ZnO2,unknown,28.0,spiro,172.0,Ag,two-step,spin,CB,DMSO,150.0,5.0,18.82,1.11,0.6284,13.11
0.05,0.9,0.05,3.0,0.0,1,1.526575000000001,FTO,c-TiO2,meso-TiO2,20.016,spiro,0.07,Au,two-step,spin,hlorobenzene,DMF/DMSO,100.0,60.0,25.32,1.12,0.837,23.76
0.05,0.8,0.15,2.55,0.45,1,1.536908333333334,FTO,TiO2,unknown,46.208,spiro,200.62,Au,two-step,spin,CB,DMF/DMSO/RbI,100.0,60.0,23.06,1.1395,0.78,20.5
0.05,0.745,0.255,2.235,0.765,1,1.694780000000001,FTO,c-TiO2,mp-TiO2,21.2,spiro,177.2,Au,one-step,spin,unknown,DMF/DMSO,100.0,3.0,18.56,1.016,0.6116,11.54
0.0,0.83,0.17,2.49,0.51,1,1.69005,FTO,c-TiO2,mp-TiO2,22.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,19.2,1.1,0.77,16.3
0.1,0.75,0.15,2.55,0.45,1,1.603289999999999,ITO,SpinSnO2,unknown,34.6,spiro,150.22,Ag,two-step,spin,EA/HEX,DMF/DMSO,100.0,60.0,17.92,1.168,0.7056,13.48
0.0,0.87,0.13,3.0,0.0,1,1.52,FTO,c-TiO2,unknown,42.4,spiro,102.0,Au,two-step,spin,toluene,DMF,110.0,40.0,15.7,1.0,0.56,8.73
0.0,0.67,0.33,0.5,2.5,1,2.11,FTO,c-TiO2,mp-TiO2,21.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.2,0.92,0.51,3.4
0.05,0.81,0.14,2.55,0.45,1,1.534075000000001,FTO,TiO2,unknown,72.6,spiro,60.028,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,28.48,1.02,0.5505,15.99
0.05,0.87,0.08,2.76,0.24,0,1.695760000000001,ITO,BCP,C60,24.2,PTAA,59.0034,Ag,one-step,spin,unknown,DMF/DMSO/BMIM:BF4,100.0,30.0,22.48,1.02,0.712,16.3
0.8,0.0,0.2,3.0,0.0,0,1.72,ITO,PCBM,unknown,24.0,PEDOT:PSS,198.0,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,0.58,0.84,0.46,0.22
0.05,0.8,0.15,2.85,0.15,1,1.55,unknown,unknown,unknown,72.6,unknown,160.4,unknown,unknown,unknown,unknown,unknown,134.0,26.0,24.1,1.18,0.83,23.7
0.03,0.9409,0.0291,2.91,0.09,1,1.53,unknown,unknown,unknown,72.6,unknown,60.028,unknown,unknown,unknown,unknown,unknown,112.0,51.0,24.6,1.21,0.8,23.8
0.06,0.79,0.15,2.55,0.45,1,1.536708333333334,FTO,c-TiO2,mp-TiO2,46.208000000000006,spiro,200.62,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.95,1.121,0.78,20
0.1,0.36,0.54,2.8,0.2,1,1.647,FTO,TiO2,Al2O3,21.2,NiO,94.0034,C,two-step,spin,unknown,DMF/DMSO,100.0,30.0,17.63,0.903,0.6637,10.57
0.05,0.86,0.09,2.91,0.09,1,1.56,FTO,SnO2,unknown,32.8,spiro,190.22,Ag,two-step,spin,CB,DMF,100.0,60.0,21.0,0.987,0.453,9.4
0.0,0.4,0.6,3.0,0.0,1,1.53,FTO,c-TiO2,mp-TiO2,32.8,spiro,150.22,Au,one-step,spin,toluene,DMSO,100.0,60.0,20.87,0.975,0.6997,14.23
0.0,0.33,0.67,2.0,1.0,1,1.76,FTO,c-TiO2,mp-TiO2,22.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,20.4,1.17,0.73,17.5
0.25,0.5625,0.1875,2.1,0.9,0,1.76,ITO,C,BCP,21.2,PTAA,94.0034,Cu,two-step,spin,unknown,DMF/NMP,100.0,30.0,16.7,1.17,0.696,13.6
0.1,0.747,0.153,2.49,0.51,1,1.69005,FTO,ALD-TiO2,mp-TiO2,36.008,spiro,190.22,Cu,two-step,spin,CB,DMF/DMSO,100.0,60.0,21.8,1.1,0.73,17.5
0.15,0.7,0.15,3.0,0.0,1,1.685676666666667,ITO,ZnO2,unknown,26.0,spiro,120.0,Ag,two-step,spin,CB,DMSO,110.0,5.0,23.08,1.13,0.7494,19.54
0.05,0.87,0.08,2.76,0.24,0,1.529135450293171,ITO,BCP,C60,23.2,PTAA,55.2034,Ag,one-step,spin,unknown,DMF/DMSO/PA,100.0,30.0,21.4,0.92,0.589,11.8
0.05,0.7885,0.1615,2.49,0.51,1,1.695760000000001,FTO,Li-TiO2,unknown,46.208,spiro,200.62,Au,one-step,coat,BCl,DMF/DMSO,100.0,60.0,23.1,1.09,0.627,15.7
0.1,0.75,0.15,2.01,0.99,1,1.73,unknown,unknown,unknown,32.0,unknown,154.01399999999998,unknown,unknown,unknown,unknown,unknown,100.0,32.0,18.04,1.13,0.7464,17.3
0.1,0.765,0.135,2.55,0.45,1,1.611,FTO,c-TiO2,mp-TiO2,32.6,spiro,190.22,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,21.28,1.061,0.6955,15.71
0.17,0.83,0.0,1.8,1.2,1,1.75,unknown,unknown,unknown,30.0,unknown,176.0,unknown,unknown,unknown,unknown,unknown,110.0,27.0,19.8,1.2,0.751,17.1
0.06,0.8,0.14,2.58,0.42,1,1.69477,FTO,TiO2,unknown,24.2,spiro,55.0034,Ag,two-step,spin,CB,DMF/DMSO/TPL,100.0,30.0,23.46,1.12,0.807,21.38
0.1,0.747,0.153,2.49,0.51,1,1.69005,FTO,c-TiO2,mp-TiO2,72.6,spiro,200.62,Cu,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.5,1.11,0.77,20
0.05,0.87,0.08,2.76,0.24,0,1.560973333333333,ITO,BCP,C60,24.2,NiOx/PTAA,59.0034,Ag,one-step,spin,unknown,DMF/DMSO/BMIM:BF4,100.0,30.0,22.99,1.04,0.745,17.8
0.05,0.7125,0.2375,2.1,0.9,0,1.73,ITO,C,BCP,21.2,PTAA,94.0034,Cu,two-step,spin,unknown,DMF/NMP,100.0,30.0,15.0,1.13,0.66,11.2
0.05,0.7885,0.1615,2.515,0.4845,0,1.68654,ITO,C,unknown,34.008,0.015PTAA/PS,190.22,Cu,one-step,spin,diethyl ether,DMF/DMSO,100.0,60.0,22.5,1.11,0.799,19.9
0.2,0.8,0.0,3.0,0.0,1,1.55,FTO,c-TiO2,unknown,28.0,spiro,172.0,Ag,one-step,spin,unknown,DMF/DMSO,185.0,30.0,20.75,0.7,0.53,7.67 
0.05,0.7125,0.2375,2.49,0.51,0,1.65,ITO,C,BCP,22.2,PTAA,94.0034,Cu,two-step,spin,unknown,DMF/NMP,100.0,30.0,19.5,1.07,0.704,14.6
0.05,0.79,0.16,2.7,0.3,0,1.697286666666668,ITO,GF:PCBM,BCP,38.0,Meo2PACz SAM,104.02,Ag,unknown,unknown,unknown,unknown,100.0,60.0,22.4,1.098,0.85,20.8
0.0,0.83,0.17,2.0,1.0,1,1.68,FTO,c-TiO2,mp-TiO2,22.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,19.1,1.18,0.65,14.7
0.05,0.8,0.15,2.4,0.6,1,1.654,ITO,TiO2,unknown,42.4,CuSCN,102.0,Cu,unknown,unknown,unknown,unknown,102.0,42.0,16.927,1.14,0.727,14.024
0.05,0.7885,0.1615,2.49,0.51,1,1.633519999999999,ITO,SnO2,unknown,52.0,3TPFPB/spiro,104.0,Au,two-step,spin,CB,DMF/DMSO,110.0,50.0,23.09,1.137,0.763,20.04
0.05,0.8,0.15,2.85,0.15,1,1.844525634920634,FTO,SnO2,unknown,72.6,spiro,205.6,Ag,unknown,unknown,unknown,unknown,140.0,31.0,24.02,1.09,0.76,19.93
0.05,0.7125,0.2375,2.28,0.72,0,1.68,ITO,C,BCP,21.2,PTAA,94.0034,Cu,two-step,spin,unknown,DMF/NMP,100.0,30.0,17.5,1.11,0.733,14.3
0.3,0.0,0.7,3.0,0.0,0,1.58,ITO,PCBM,unknown,24.0,PEDOT:PSS,198.0,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,5.85,1.04,0.62,3.78
0.05,0.8,0.15,2.55,0.45,1,1.695760000000001,FTO,c-TiO2,unknown,34.008,spiro,190.22,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.39,1.104,0.75,18.24
0.0,0.85,0.15,2.55,0.45,1,1.695760000000001,ITO,SnO2,unknown,28.0,spiro,172.0,Au,two-step,spin,EA,DMF/DMSO,130.0,30.0,20.92,1.12,0.6557,15.46
0.1,0.747,0.153,2.49,0.51,1,1.603289999999999,FTO,c-TiO2,mp-TiO2,80.0,spiro,250.0,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,22.3,1.09,0.73,17.8
0.0,0.85,0.15,2.55,0.45,1,1.68654,ITO,SnO2,unknown,28.0,spiro,172.0,Au,two-step,spin,CB,DMF/DMSO,130.0,30.0,22.13,1.15,0.7141,18.17
0.05,0.7885,0.1615,3.0,0.0,1,1.695760000000001,ITO,SnO2,unknown,24.2,spiro,65.2,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,21.67,0.82,0.6826,12.08
0.05,0.7885,0.1615,2.49,0.51,1,1.832045634920634,ITO,SnO2,unknown,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,10.0,19.96,1.13,0.6966,15.73
0.05,0.87,0.08,2.76,0.24,0,1.695760000000001,ITO,BCP,C60,24.2,PTAA,59.0034,Ag,one-step,spin,unknown,DMF/DMSO/BMIM:BF4/4F-PEAI/Pb(SCN)2,100.0,30.0,22.16,1.05,0.75,17.3
0.175,0.75,0.075,2.64,0.36,0,1.685746666666667,ITO,NiOx,unknown,23.2,PCBM/ZnO,55.2034,Ag,two-step,spin,CB,DMF/DMSO,100.0,30.0,21.24,1.09,0.7757,18.14
