Cs,FA,MA,I,Br,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.05,0.86,0.09,2.91,0.09,1,1.56,13.748588709770196,15.569879212259472,,,14.50981884057955,,15.271361592621036,15.043190661450348,14.540728643216081,14.234280155654995,14.198525610001711,100.0,60.0,21,0.987,0.453,9.4
0.05,0.86,0.09,2.91,0.09,1,1.56,13.748588709770196,15.569879212259472,,,14.50981884057955,,15.271361592621036,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,23.49,1.041,0.748,18.3
0.05,0.86,0.09,2.91,0.09,1,1.56,13.748588709770196,15.569879212259472,,,14.50981884057955,,15.271361592621036,15.043190661450348,14.540728643216081,14.234280155654995,15.03652243629475,100.0,60.0,23.5,1.08,0.776,19.7
0.05,0.7885,0.1615,2.79,0.21,1,1.55,13.995852214049805,15.569879212259472,,,14.109522690499249,,13.995852214049805,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,150.0,15.0,19.7,0.9,0.57,10.7
0.05,0.8,0.15,2.85,0.15,1,1.55,,,,,,,,,,,,,,24.1,1.18,0.83,23.7
0.05,0.8075,0.1425,2.6,0.45,1,1.546,13.748588709770196,15.159048660965988,,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,23.61,1.135,0.777,20.7
0.05,0.855,0.095,2.75,0.3,1,1.537,13.748588709770196,15.159048660965988,,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,24.13,1.131,0.768,21.0
0.03,0.9409,0.0291,2.91,0.09,1,1.53,,,,,,,,,,,,,,24.6,1.21,0.8,23.8
0.05,0.9025,0.0475,2.9,0.15,1,,13.748588709770196,15.159048660965988,,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,24.69,1.126,0.768,21.4
0.05,0.95,0.0,3.05,0.0,1,,13.748588709770196,15.159048660965988,,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,25.45,1.09,0.727,20.1
0.05,0.9,0.05,3.0,0.0,1,,13.748588709770196,13.488257532983164,13.549629738678034,,14.50981884057955,0.07,14.127791666767372,15.043190661450348,14.540728643216081,15.853584570121559,14.00101851851855,100.0,60.0,25.32,1.12,0.837,23.76
0.05,0.9,0.05,3.0,0.0,1,,13.748588709770196,13.488257532983164,13.549629738678034,,14.50981884057955,0.07,14.127791666767372,15.043190661450348,14.540728643216081,15.853584570121559,15.903232442836728,100.0,60.0,25.26,1.15,0.84,24.46
0.05,0.85,0.1,2.55,0.45,1,,13.748588709770196,15.569879212259472,,0.04,14.50981884057955,,15.422352987268296,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,22.01,1.045,0.743,17.1
0.05,0.7885,0.1615,2.49,0.51,1,,15.131265603223945,15.569879212259472,,30.0,14.50981884057955,165.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,120.0,0.0,20.17,1.12,0.6634,15.03
0.05,0.7885,0.1615,2.49,0.51,1,,15.131265603223945,15.569879212259472,,30.0,14.50981884057955,165.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,120.0,2.0,21.2,1.12,0.6478,15.37
0.05,0.7885,0.1615,2.49,0.51,1,,15.131265603223945,15.569879212259472,,30.0,14.50981884057955,165.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,120.0,5.0,20.01,1.14,0.7694,17.48
0.05,0.7885,0.1615,2.49,0.51,1,,15.131265603223945,15.569879212259472,,30.0,14.50981884057955,165.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,120.0,10.0,21.32,1.14,0.7622,18.57
0.05,0.7885,0.1615,2.49,0.51,1,,15.131265603223945,15.569879212259472,,30.0,14.50981884057955,165.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,120.0,15.0,20.91,1.14,0.7513,17.97
0.05,0.7885,0.1615,2.49,0.51,1,,15.131265603223945,15.569879212259472,,30.0,14.50981884057955,165.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,120.0,20.0,19.78,1.14,0.7534,17.04
0.05,0.7885,0.1615,2.49,0.51,1,,15.131265603223945,15.569879212259472,,30.0,14.50981884057955,165.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,120.0,10.0,19.96,1.13,0.6966,15.73
0.05,0.81,0.14,2.86,0.14,0,,13.748588709770196,15.438223786374428,14.641134841501424,,15.029404139433549,,15.271361592621036,15.043190661450348,14.540728643216081,11.813466461809323,14.00101851851855,120.0,10.0,23.1,0.93,0.769,16.2
0.16,0.8,0.04,1.5,1.5,0,,13.748588709770196,11.944967703183918,14.641134841501424,,15.76762475068065,,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,100.0,15.0,17.64,1.22,0.73,15.7
0.05,0.7885,0.1615,2.49,0.51,1,,13.748588709770196,15.159048660965988,,,14.50981884057955,,15.271361592621036,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,5.0,23.78,1.145,0.7789,21.15
0.05,0.79,0.16,2.7,0.3,0,,15.131265603223945,11.944967703183918,14.641134841501424,,15.309947805116083,,15.271361592621036,,,,,,,22.4,1.098,0.85,20.8
0.05,0.7885,0.1615,2.49,0.51,1,,13.748588709770196,15.159048660965988,,,14.984676619208589,,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,110.0,60.0,22.3,1.14,0.705,18.3
0.05,0.7885,0.1615,2.49,0.51,1,,13.748588709770196,15.159048660965988,,,14.750481365355192,,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,110.0,60.0,21.9,1.09,0.681,16.5
0.05,0.7885,0.1615,2.49,0.51,1,,13.748588709770196,15.159048660965988,,,14.3341342473936,,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,110.0,60.0,19.5,1.05,0.634,13.3
0.05,0.7885,0.1615,2.49,0.51,1,,13.748588709770196,15.159048660965988,,,13.410364079416315,,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,110.0,60.0,18.9,0.79,0.434,6.2
0.05,0.81,0.14,2.55,0.45,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,,,,,14.00101851851855,,,22.5,1.11,0.78,19.4
0.06,0.79,0.15,2.55,0.45,1,,13.748588709770196,13.488257532983164,13.549629738678034,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,22.95,1.121,0.78,20.0
0.05,0.7885,0.1615,3.0,0.0,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,13.612357075332143,14.234280155654995,14.00101851851855,100.0,10.0,21.67,0.82,0.6826,12.08
0.05,0.7885,0.1615,2.49,0.51,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,13.612357075332143,14.234280155654995,14.00101851851855,100.0,10.0,20.62,1.05,0.7605,16.51
0.05,0.7885,0.1615,1.95,1.05,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,13.612357075332143,14.234280155654995,14.00101851851855,100.0,10.0,17.17,1.09,0.7583,14.24
0.05,0.7885,0.1615,1.5,1.5,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,13.612357075332143,14.234280155654995,14.00101851851855,100.0,10.0,15.05,1.12,0.6427,10.81
0.05,0.7885,0.1615,0.9,2.1,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,13.612357075332143,14.234280155654995,14.00101851851855,100.0,10.0,10.52,1.13,0.576,6.88
0.05,0.7885,0.1615,0.0,3.0,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,13.612357075332143,14.234280155654995,14.00101851851855,100.0,10.0,6.01,1.31,0.5524,4.36
0.05,0.7885,0.1615,2.49,0.51,1,,13.748588709770196,13.488257532983164,,,14.50981884057955,,14.127791666767372,15.043190661450348,13.612357075332143,14.234280155654995,14.00101851851855,100.0,60.0,21.6,1.112,0.733,17.6
0.07,0.79,0.14,2.49,0.51,0,,15.131265603223945,11.944967703183918,,,11.599997776310113,,13.917787129432007,14.10101466327603,,,,,,21.7,0.93,0.49,10.1
0.0,0.4,0.6,3.0,0.0,1,,14.03647242874631,14.03647242874631,,,11.599997776310113,,15.271361592621036,15.043190661450348,13.612357075332143,14.234280155654995,,,,19.6,1.04,0.538,11.0
0.0,0.4,0.6,3.0,0.0,1,,14.03647242874631,14.03647242874631,,,14.109522690499249,,15.271361592621036,15.043190661450348,13.612357075332143,14.234280155654995,,,,20.6,1.05,0.536,11.6
0.0,0.0,1.0,3.0,0.0,1,,15.131265603223945,15.569879212259472,,20.0,14.50981884057955,220.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,100.0,10.0,21,1.05,0.723,16.1
0.0,0.0,1.0,3.0,0.0,1,,15.131265603223945,15.569879212259472,,20.0,14.50981884057955,220.0,15.271361592621036,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,10.0,20.1,1.05,0.688,14.6
0.0,0.0,1.0,3.0,0.0,1,,15.131265603223945,15.569879212259472,,20.0,14.50981884057955,220.0,15.271361592621036,15.043190661450348,13.612357075332143,14.234280155654995,14.00101851851855,100.0,10.0,15.5,0.83,0.607,7.8
0.15,0.85,0.0,2.55,0.45,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,13.612357075332143,14.234280155654995,14.581340348683296,100.0,30.0,15.2,1.029,0.715,15.2
0.0,0.95,0.05,2.85,0.15,1,,15.131265603223945,15.569879212259472,,,14.109522690499249,,14.127791666767372,15.043190661450348,13.612357075332143,14.596784135103237,14.00101851851855,120.0,30.0,20.9,0.96,0.681,13.8
0.0,0.95,0.05,2.85,0.15,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,13.612357075332143,14.596784135103237,14.00101851851855,120.0,30.0,22,1.02,0.744,16.7
0.0,0.95,0.05,2.85,0.15,1,,15.131265603223945,15.661240685896178,13.549629738678034,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,120.0,30.0,24.8,1.17,0.81,23.5
0.0,0.95,0.05,2.85,0.15,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,120.0,30.0,23.4,1.13,0.837,22.2
0.02,0.38,0.6,2.975,0.025,0,,15.131265603223945,11.944967703183918,,,11.599997776310113,,14.301024664785718,13.387363546219715,14.908969235021235,,14.198525610001711,100.0,10.0,21.35,1.0,0.6865,14.66
0.02,0.38,0.6,2.975,0.025,0,,15.131265603223945,11.944967703183918,,,11.599997776310113,,14.301024664785718,13.387363546219715,13.612357075332143,,14.198525610001711,100.0,10.0,21.75,0.98,0.5476,11.67
0.02,0.38,0.6,2.975,0.026,0,,15.131265603223945,11.944967703183918,,,11.599997776310113,,14.198821434056082,13.387363546219715,13.612357075332143,,14.198525610001711,100.0,10.0,17.59,0.94,0.7418,12.26
0.05,0.7885,0.1615,2.54,0.51,1,,13.748588709770196,15.159048660965988,,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,23.6,1.129,0.767,20.6
0.1,0.76,0.14,2.58,0.42,1,,13.748588709770196,15.159048660965988,,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,23.18,1.07,0.783,19.01
0.33,0.33,0.33,2.4,0.6,1,,13.748588709770196,13.488257532983164,13.549629738678034,40.0,14.50981884057955,50.0,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,18.43,1.05,0.48,9.3
0.0,0.83,0.17,2.49,0.51,1,,13.748588709770196,13.488257532983164,13.549629738678034,30.0,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,22.1,1.071,0.71,16.8
0.05,0.7885,0.1615,2.49,0.51,1,,13.748588709770196,13.488257532983164,13.549629738678034,30.0,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,22.7,1.109,0.74,18.6
0.1,0.747,0.153,2.49,0.51,1,,13.748588709770196,13.488257532983164,13.549629738678034,30.0,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,22,1.13,0.77,19.1
0.15,0.7055,0.1445,2.49,0.51,1,,13.748588709770196,13.488257532983164,13.549629738678034,30.0,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,19.4,1.088,0.69,14.6
0.0,0.75,0.25,2.49,0.51,1,,13.748588709770196,13.488257532983164,13.549629738678034,31.0,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,18.6,0.906,0.6,10.1
0.05,0.75,0.2,2.49,0.51,1,,13.748588709770196,13.488257532983164,13.549629738678034,32.0,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,17.9,0.913,0.52,8.5
0.1,0.75,0.15,2.49,0.51,1,,13.748588709770196,13.488257532983164,13.549629738678034,31.0,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,20.7,1.049,0.75,16.3
0.15,0.75,0.1,2.49,0.51,1,,13.748588709770196,13.488257532983164,13.549629738678034,31.0,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,21.1,1.06,0.75,16.8
0.2,0.75,0.05,2.49,0.51,1,,13.748588709770196,13.488257532983164,13.549629738678034,31.0,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,20.4,1.054,0.74,15.9
0.25,0.75,0.0,2.49,0.51,1,,13.748588709770196,13.488257532983164,13.549629738678034,31.0,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,20.7,1.045,0.66,14.3
0.04,0.92,0.04,3.0,0.0,0,,15.131265603223945,15.922031015204523,,,15.76762475068065,25.0,15.271361592621036,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,15.0,24.03,0.98,0.7495,17.62
0.04,0.92,0.04,3.0,0.0,0,,15.131265603223945,15.922031015204523,,,15.76762475068065,25.0,15.271361592621036,15.043190661450348,14.540728643216081,15.346378177937723,14.00101851851855,100.0,15.0,24.79,1.05,0.8176,21.08
0.05,0.81,0.14,2.55,0.45,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,22.3,1.08,0.751,18.1
0.05,0.81,0.14,2.55,0.45,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.36215413943355,130.0,10.0,20.7,1.05,0.745,16.6
0.05,0.7885,0.1615,2.49,0.51,1,,13.748588709770196,13.488257532983164,13.549629738678034,40.0,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,,,0.725,16.1
0.05,0.79,0.15,2.45,0.55,1,,15.131265603223945,15.569879212259472,,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,22.83,1.1,0.7762,18.38
